,Title,Author,Genre,Publish Date,Publisher,Format,Illustrator,Total Pages,Rating,Status (Read or Not),MSRP ,Special Edition?,ISBN
419,Ms. Marvel Meets The Marvel Universe,G. Willow Wilson & Mark Waid & Marvel Various,Superhero,"July 28th, 2020",Outreach/New Reader,Graphic Novel,Marvel Various,248,,No,$12.99,No,978-1-302-92362-4
420,Shuri and T'Challa: Into The Heartlands (An Original Black Panther Graphic Novel) ,Roseanne A. Brown,Superhero,"April 19th, 2022",Graphix,Graphic Novel,Dika Araújo & Natacha Bustos & Claudia Aguirre,128,,No,$12.99,No,978-1-338-64805-8
421,"Get A Life, Chloe Brown (The Brown Sisters: Book 1) ",Talia Hibbert,Romance ,"November 5th, 2019",Avon,Paperback,N/A,384,,No,$16.99,No,978-0-06-294120-6
422,"Take A Hint, Dani Brown (The Brown Sisters: Book 2)",Talia Hibbert,Romance ,"June 23rd, 2020",Avon,Paperback,N/A,400,,No,$16.99,No,978-0-06-294123-7
423,The Roommate Risk,Talia Hibbert,Romance ,"May 4th, 2021",Nixon House,Paperback,N/A,286,TBD,Currently Reading,$12.99,No,978-1913651046
424,The Neighbor Favor,Kristina Forest,Romance ,"February 28th, 2023",Berkley,Paperback,N/A,416,4.5/5,Yes,$17.00,No,978-0-593-54643-7
425,The Heroes of Olympus: The Mark of Athena,Rick Riordan,Fantasy/Adventure,"September 26th, 2023",Disney-Hyperion,Graphic Novel,Robert Venditti & Orpheus Collar,160,,No,$14.99,No,978-1-368-09237-1
426,Percy Jackson & The Olympians: The Chalice of The Gods,Rick Riordan,Fantasy/Adventure,"September 26th, 2023",Disney-Hyperion,Hardcover,N/A,268,TBD,Currently Reading,$19.99,Barnes & Noble Exclusive Edition,978-1-368-09937-0
427,Seven Days In June,Tia Williams,Romance ,"June 7th, 2022",Grand Central Publishing,Paperback,N/A,337,,No,$16.99,No,978-1-5387-1909-1
428,"Act Your Age, Eve Brown (The Brown Sisters: Book 3",Talia Hibbert,Romance ,"March 9th, 2021",Avon,Paperback,N/A,375,,No,$18.99,No,978-0-06-294127
429,Norse Mythology ,Neil Gaiman,Mythology/Legends,"March 6th, 2018",W. W. Norton & Company,Paperback,N/A,299,,No,$15.95,No,978-0-393-35618-2
430,From Percy Jackson: Camp Half-Blood Confidential: Your Real Guide to the Demigod Training Camp,Rick Riordan,Fantasy/Adventure,"November 21st, 2023",Disney-Hyperion,Paperback,N/A,163,3.5/5,Yes,$7.99,Disney+ New Edition,978-1-368-10083
431,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"November 21st, 2023",Disney-Hyperion,Paperback,N/A,375,4.0/5,Yes,$8.99,Disney+ New Edition,978-1-368-09816-8
432,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Graphic Novel,"November 21st, 2023",Disney-Hyperion,Paperback,Robert Venditti & Orpheus Collar & Attila Futaki & José Villarrubia,128,3.25/5,Yes,$14.99,Disney+ New Edition,978-1-368-10082-3
433,Spider-Man: Into the Spider-Verse - The Art of the Movie,Ramin Zahed,Art Book,"December 18th, 2018",Titan Books,Hardcover,Various Film Artists,192,,No,$44.99,No,978-1785659461
434,Spider-Man: Across the Spider-Verse - The Art of the Movie,Ramin Zahed,Art Book,"July 3rd, 2023",Abrams Books,Hardcover,Various Film Artists,224,,No,$40.00,No,978-1419763991
435,My Hero Academia Vol. 11,Kohei Horikoshi,Shonen,"February 6th, 2018",Viz Media LLC,Paperback,Kohei Horikoshi,208,5.0/5,Yes,$9.99,No,978-1-4215-9583-2
436,192,Kohei Horikoshi,Shonen,"April 3rd, 2018",Viz Media LLC,Paperback,Kohei Horikoshi,192,4.5/5,Yes,$9.99,No,978-1-4215-9701-0
437,My Hero Academia Vol. 13,Kohei Horikoshi,Shonen,"June 5th, 2018",Viz Media LLC,Paperback,Kohei Horikoshi,192,4.2/5,Yes,$9.99,No,978-1-4215-9803-1
438,My Hero Academia Vol. 14,Kohei Horikoshi,Shonen,"August 7th, 2018",Viz Media LLC,Paperback,Kohei Horikoshi,208,4.75/5,Yes,$9.99,No,978-1-4215-9947-2
439,My Hero Academia Vol. 15,Kohei Horikoshi,Shonen,"October 2nd, 2018",Viz Media LLC,Paperback,Kohei Horikoshi,192,4.0/5,Yes,$9.99,No,978-1-9747-0100-1
440,"Chainsaw Man, Vol. 12",Tatsuki Fujimoto,Shonen,"October 3rd, 2023",Viz Media LLC,Paperback,Tatsuki Fujimoto,200,,No,$11.99,No,978-1-9747-4058-1
441,"Chainsaw Man, Vol. 13",Tatsuki Fujimoto,Shonen,"December 5th, 2023",Viz Media LLC,Paperback,Tatsuki Fujimoto,184,,No,$11.99,No,978-1-9747-4102-1
442,"Jujutsu Kaisen, Vol. 1",Gege Akutami,Shonen,"December 3rd, 2019",Viz Media LLC,Paperback,Gege Akutami,192,3.65/5,Yes,$9.99,No,978-1-9747-1002-7
443,The Poet X ,Elizabeth Acevedo,Poetry,"April 7th, 2020",Quill Tree Books,Paperback,N/A,361,,No,$14.99,No,978-0-06-266281-1
444,Excuse Me Whie I Ugly Cry,Joya Goffney,Romance ,"February 1st, 2022",Harper Teen ,Paperback,N/A,352,,No,$10.99,No,978-0-06-302480-9
445,Diary of a Wimpy Kid #18: No Brainer,Jeff Kinney,Comedy,"October 24th, 2023",Harry N. Abrams,Hardcover,Jeff Kinney,217,,No,$14.99,No,978-1-4197-6694-7
446,"Record of Ragnarok, Vol. 1",Shinya Umemura & Takumi Fukui,Shonen,"January 18th, 2022",Viz Media LLC,Paperback,Azychika,200,,Yes,$12.99,No,978-1-9747-2786-5
447,Nigeria Jones,Ibi Zoboi,Young Adult Fiction,"May 9th, 2023",Balzer + Bray,Hardcover,N/A,369,,No,$19.99,No,978-0-06-288884-6
448,Remaking Virginia Politics,Paul Goldman,Politics,"January 10th, 2022",The History Press,Paperback,N/A,160,,No,$21.99,No,978-1-4671-5112-2
449,Brothers Grimm Fairy Tales,A lot of em,Mythology/Legends,"April 15th, 2019",Flame Tree Publishing,Hardcover,N/A,478,,No,$30.00,No,978-1-78755-287-6
450,Children of Blood and Bone,Tomi Adeyemi,Young Adult Fantasy,"March 6th, 2018",Henry Holt,Hardcover,N/A,531,,No,$21.99,No,978-1-250-17097-2
451,Noble Vol. 1: God Shots,Brandon Thomas,Graphic Novel,"October 31st, 2017",Lion Forge Comics,Paperback,Roger Robinson & Juan Fernandez & Jamal Igle & Robin Riggs,136,,No,$14.99,No,978-1-941302-36-1
452,,,,,,,,,,,,,
453,,,,,,,,,,,,,
454,,,,,,,,,,,,,
455,,,,,,,,,,,,,
456,,,,,,,,,,,,,
457,,,,,,,,,,,,,
458,,,,,,,,,,,,,
459,,,,,,,,,,,,,
460,,,,,,,,,,,,,
461,,,,,,,,,,,,,
462,,,,,,,,,,,,,
463,,,,,,,,,,,,,
464,,,,,,,,,,,,,
465,,,,,,,,,,,,,
466,,,,,,,,,,,,,
467,,,,,,,,,,,,,
468,,,,,,,,,,,,,
469,,,,,,,,,,,,,
470,,,,,,,,,,,,,
471,,,,,,,,,,,,,
472,,,,,,,,,,,,,
473,,,,,,,,,,,,,
474,,,,,,,,,,,,,
475,,,,,,,,,,,,,
476,,,,,,,,,,,,,
477,,,,,,,,,,,,,
478,,,,,,,,,,,,,
479,,,,,,,,,,,,,
480,,,,,,,,,,,,,
481,,,,,,,,,,,,,
482,,,,,,,,,,,,,
483,,,,,,,,,,,,,
484,,,,,,,,,,,,,
485,,,,,,,,,,,,,
486,,,,,,,,,,,,,
487,,,,,,,,,,,,,
488,,,,,,,,,,,,,
489,,,,,,,,,,,,,
490,,,,,,,,,,,,,
491,,,,,,,,,,,,,
492,,,,,,,,,,,,,
493,,,,,,,,,,,,,
494,,,,,,,,,,,,,
495,,,,,,,,,,,,,
496,,,,,,,,,,,,,
497,,,,,,,,,,,,,
498,,,,,,,,,,,,,
499,,,,,,,,,,,,,
500,,,,,,,,,,,,,
