,Title,Author,Genre,Publish Date,Publisher,Format,Illustrator,Total Pages,Rating,Status (Read or Not),MSRP ,Special Edition?,ISBN
71,I'm Glad My Mom Died,Jennette McCurdy,Memoir,"August 9th, 2022",Simon & Schuster,Hardcover,N/A,304,,No,$27.99,No,978-1-9821-8582-4
72,The Girl and the Goddess,Nikita Gill,Poetry,"September 29th, 2020",G.P. Putnam's Sons,Paperback ,N/A,342`,,No,$15.00,No,978-0-593-08566-0
73,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"May 3rd, 2022",Disney-Hyperion,Paperback ,N/A,377,4.0/5,Yes,$8.99,3rd Rendition of the Covers,978-1-368-05147-7
74,Percy Jackson & The Olympians: The Sea of Monsters,Rick Riordan,Fantasy/Adventure,"May 3rd, 2022",Disney-Hyperion,Paperback ,N/A,279,3.5/5,Yes,$8.99,3rd Rendition of the Covers,978-1-368-05149-1
75,Percy Jackson & The Olympians: The Titan's Curse,Rick Riordan,Fantasy/Adventure,"May 3rd, 2022",Disney-Hyperion,Paperback ,N/A,312,5.0/5,Yes,$8.99,3rd Rendition of the Covers,978-1-368-05148-4
76,Percy Jackson & The Olympians: The Battle of the Labyrinth,Rick Riordan,Fantasy/Adventure,"May 3rd, 2022",Disney-Hyperion,Paperback ,N/A,361,4.75/5,Yes,$8.99,3rd Rendition of the Covers,978-1-368-05146-0
77,Percy Jackson & The Olympians: The Last Olympian,Rick Riordan,Fantasy/Adventure,"May 3rd, 2022",Disney-Hyperion,Paperback ,N/A,381,5.0/5,Yes,$8.99,3rd Rendition of the Covers,978-1-368-05145-3
78,Free Comic Book Day 2023: Marvel Voices #1,John Jennings,Superhero,"May 6th, 2023",Marvel,Comic Book,"Paris Alleyne, Eric Arciniega & Many More!",28,,No,$0.00,No,N/A
79,Free Comic Book Day 2023: Power Rangers: Ranger Academy,Maria Ingrande Mora,Superhero,"May 6th, 2023",Boom! Studios,Comic Book,"Jo Mi-Gyeong, Fabiana Mascolo",28,,No,$0.00,No,N/A
80,Dark Web: Ms. Marvel (2022-2023) #1 (of 2) ,Sabir Pirzada,Superhero,"December 21st, 2022",Marvel,Comic Book,"Francesco Mortarino, Ariana Maher, Dono Sánchez-Almara",24,,No,$3.99,No,N/A
81,The Flash: The Fastest Man Alive (2006-2007) #7,Danny Bilson & Paul De Meo,Superhero,"December 27th, 2006",DC Comics,Comic Book,"Art Thibert, Ron Adrian",22,,No,$2.99,No,N/A
